,Please select your age.,What is the highest level of education you have attained?,In which discipline is your highest academic qualification?,In which institute do you work?,Do you write code as part of your job?,Who uses the code that you write?,How many years of software development experience do you have?,What programming language do you use at work? Please select all that apply.,Please rate every answer on a scale from 1 to 10. The sum of all 4 answers must be 10.,"In an average month, how much time do you spend on software development?","In an average month, how much time do you spend on research?","In an average month, how much time do you spend on management?","In an average month, how much time do you spend on other activities?","In an average month, how much time would you like to spend on software development?","In an average month, how much time would you like to spend on research?","In an average month, how much time would you like to spend on management?","In an average month, how much time would you like to spend on other activities?",Which version control tools do you use for software development? Please select all that apply.,Are you documenting your software?,"What kind of documentation do you write? Please rate every answer with “never”, “sometimes”, or “regularly”.",Developer guide,Code comments,Guide for new contributors,User manual,Release notes,Installation notes,README,Are you testing your software?,"How do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Automated,semi-automated,manually,"When do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Before I publish results based on it,Before I give it to someone else,During development,Did you ever reference or acknowledge software in a publication?,How do you reference software in a publication? Please select all that apply.,Do you care for making your software citable?
168,35 - 44,Doctorate,Geography & Environmental Sciences,Institute Space 6,Yes,1,10.0,C;#Python;#MATLAB;#Other,,3.0,3.0,3.0,1.0,2.0,5.0,2.0,1.0,Subversion;#Git,No,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,Yes,,2.0,1.0,3.0,,3.0,1.0,3.0,Yes,Name;#Link;#DOI,Yes
169,18 - 24,Undergraduate degree,Computer Science,Institute Transport 1,Yes,3,3.0,Java;#C++;#SQL,,3.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,Subversion,Yes,,2.0,3.0,1.0,3.0,1.0,2.0,1.0,Yes,,2.0,1.0,2.0,,1.0,1.0,2.0,Yes,Name,Yes
170,25 - 34,Master degree,Chemical Engineering,Institute Energy 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
171,25 - 34,Master degree,General Engineering,Institute Aeronautics 12,Yes,2,8.0,Python,,2.0,1.0,5.0,2.0,5.0,5.0,0.0,0.0,Subversion,No,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,No,,1.0,1.0,3.0,,2.0,2.0,2.0,Yes,Name;#Other,No
172,35 - 44,Master degree,Physics,Institute Aeronautics 1,Yes,0 - Mostly me,20.0,C;#Python;#Visual Basic .NET;#Fortran;#Other,,3.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,None,No,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,Yes,,1.0,1.0,2.0,,3.0,2.0,3.0,Yes,Name,No
173,55 or older,Doctorate,Geography & Environmental Sciences,Institute Space 8,Yes,2,30.0,Fortran;#Other,,2.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,None,Yes,,,2.0,,,,,2.0,Yes,,,,3.0,,1.0,2.0,3.0,Yes,Name,No
174,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Space 10,Yes,2,9.0,MATLAB,,1.0,1.0,5.0,3.0,2.0,3.0,3.0,2.0,Subversion,No,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,Yes,Name,No
175,25 - 34,Master degree,Civil Engineering,Institute Space 18,Yes,2,7.0,MATLAB,,4.0,5.0,0.0,1.0,4.0,5.0,0.0,1.0,None,No,,1.0,3.0,2.0,2.0,1.0,1.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
176,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,1,15.0,MATLAB;#Fortran,,2.0,2.0,3.0,3.0,3.0,5.0,1.0,1.0,None,Yes,,1.0,3.0,1.0,1.0,3.0,2.0,2.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,Yes
177,45 - 54,Doctorate,Physics,Institute Energy 4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
178,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 1,Yes,2,15.0,C;#Python;#C++;#Fortran;#Other,,2.0,3.0,4.0,1.0,2.0,6.0,2.0,,Subversion;#Git,Yes,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
179,35 - 44,Doctorate,Electrical & Electronic Engineering,Institute Space 15,Yes,3,10.0,Python;#JavaScript;#SQL,,3.0,0.0,1.0,6.0,2.0,,1.0,7.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
180,35 - 44,Master degree,Mechanical Engineering,Institute Space 16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
181,35 - 44,Doctorate,Mathematics,Institute Space 8,Yes,1,20.0,Python;#Fortran;#Other,,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,Git,No,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,Yes
182,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 4,Yes,2,10.0,C;#Python;#C++;#MATLAB;#Other,,5.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,Git,Yes,,2.0,3.0,2.0,1.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,,No
183,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 5,Yes,3,10.0,C;#Python;#MATLAB;#Fortran,,3.0,4.0,6.0,6.0,7.0,8.0,3.0,3.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,3.0,2.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,2.0,Yes,Name;#Link;#DOI,Yes
184,55 or older,Doctorate,Physics,Institute Space 16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
185,25 - 34,Undergraduate degree,Computer Science,Institute Space 3,Yes,2,8.0,Java;#Python;#JavaScript;#SQL;#Perl,,2.0,1.0,4.0,3.0,7.0,3.0,1.0,1.0,Git,Yes,,3.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,3.0,2.0,2.0,,3.0,2.0,3.0,No,,No
186,25 - 34,Master degree,Sociology,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
187,35 - 44,Other,Information Management,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
188,25 - 34,Doctorate,Mathematics,Institute Space 16,Yes,4,5.0,Python;#JavaScript;#Other,,6.0,2.0,2.0,,6.0,2.0,2.0,,Git,Yes,,2.0,3.0,1.0,1.0,3.0,3.0,3.0,Yes,,1.0,,2.0,,2.0,2.0,2.0,Yes,Name;#Link,No
189,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 14,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name,
190,25 - 34,Master degree,Mathematics,Institute Space 17,Yes,2,4.0,Java;#Python,,4.0,3.0,1.0,2.0,3.0,5.0,1.0,1.0,Git,Yes,,2.0,3.0,2.0,1.0,1.0,1.0,3.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
191,55 or older,Doctorate,Mechanical Engineering,Other,Yes,2,30.0,Python;#C++;#Fortran,,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,Subversion,Yes,,2.0,3.0,,3.0,3.0,3.0,3.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
192,25 - 34,Master degree,Computer Science,Institute Space 12,Yes,0 - Mostly me,2.0,Python;#C++,,5.0,6.0,1.0,8.0,5.0,7.0,3.0,8.0,Git,Yes,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,Yes,,2.0,2.0,2.0,,3.0,3.0,2.0,Yes,Name;#DOI,Yes
193,25 - 34,Doctorate,Physics,Institute Space 16,Yes,1,8.0,Python,,1.0,0.0,2.0,7.0,1.0,2.0,2.0,5.0,Git,Yes,,,,,,,,3.0,Yes,,1.0,1.0,3.0,,1.0,2.0,3.0,No,,Yes
194,25 - 34,Doctorate,Physics,Institute Space 8,Yes,1,10.0,Python;#Fortran,,7.0,7.0,2.0,2.0,8.0,6.0,2.0,2.0,Git,Yes,,1.0,3.0,2.0,1.0,1.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#DOI,No
195,25 - 34,Doctorate,Electrical & Electronic Engineering,Institute Space 3,Yes,3,11.0,Python,,4.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
196,35 - 44,Doctorate,General Engineering,Institute Aeronautics 2,Yes,3,16.0,MATLAB;#Other,,4.0,4.0,1.0,1.0,4.0,5.0,0.0,1.0,"Git;#Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,3.0,3.0,3.0,3.0,1.0,2.0,2.0,Yes,,3.0,1.0,3.0,,3.0,2.0,3.0,No,Name;#Link;#Other,No
197,25 - 34,general qualification for university entrance,General Engineering,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name;#Link,
198,45 - 54,Doctorate,Physics,Institute Aeronautics 15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
199,45 - 54,Master degree,Aeronautical & Manufacturing Engineering,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
200,25 - 34,Master degree,Chemical Engineering,Institute Energy 4,Yes,0 - Mostly me,1.0,C++;#MATLAB,,4.0,4.0,0.0,2.0,2.0,6.0,,2.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
201,35 - 44,Master degree,Physics,Institute Space 16,Yes,4,12.0,Java;#C;#Python;#C++;#JavaScript;#SQL;#Perl,,5.0,1.0,2.0,2.0,6.0,3.0,0.0,1.0,Git,Yes,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
202,25 - 34,Master degree,Geology,Institute Space 15,Yes,4,1.0,Python,,5.0,3.0,1.0,1.0,5.0,4.0,1.0,0.0,Git,Yes,,2.0,3.0,2.0,3.0,1.0,2.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,2.0,No,Name;#Link,Yes
203,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Energy 1,Yes,0 - Mostly me,3.0,MATLAB,,0.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,None,No,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,,1.0,1.0,1.0,,1.0,1.0,1.0,Yes,Link,Yes
204,25 - 34,general qualification for university entrance,Computer Science,Institute Space 17,Yes,5 - Mostly other people,0.0,Java,,6.0,3.0,0.0,1.0,5.0,3.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,3.0,2.0,3.0,,1.0,2.0,3.0,No,,No
205,45 - 54,Doctorate,Politics,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Other,
206,25 - 34,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 6,Yes,2,12.0,Java;#C++,,1.0,2.0,4.0,3.0,3.0,7.0,0.0,0.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,2.0,2.0,3.0,,1.0,2.0,3.0,No,,No
207,25 - 34,Master degree,Chemical Engineering,Institute Space 10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name,
208,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Space 9,Yes,4,2.0,Python;#Other,,4.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,3.0,Yes,,2.0,2.0,2.0,,2.0,2.0,3.0,Yes,Name;#Link;#DOI,Yes
209,18 - 24,Master degree,Mechanical Engineering,Institute Energy 3,Yes,2,3.0,Python;#C++;#MATLAB;#Assembly language,,3.0,5.0,,2.0,5.0,4.0,,1.0,Git,Yes,,2.0,2.0,,,,,,Yes,,1.0,3.0,3.0,,2.0,2.0,3.0,No,Name;#Link,Yes
210,25 - 34,Doctorate,Computer Science,Institute Space 11,Yes,3,15.0,Java;#C;#C++;#Other,,5.0,3.0,2.0,1.0,6.0,4.0,0.0,0.0,Subversion;#Git,Yes,,1.0,3.0,2.0,2.0,1.0,2.0,3.0,Yes,,2.0,2.0,3.0,,2.0,2.0,3.0,Yes,Name;#Link,No
211,35 - 44,Master degree,Mechanical Engineering,Institute Aeronautics 15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
212,35 - 44,Doctorate,Physics,Institute Space 6,Yes,2,8.0,Python;#MATLAB,,1.0,1.0,8.0,,3.0,3.0,4.0,,Subversion;#Git,Yes,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,2.0,No,Name;#Other,No
213,25 - 34,Master degree,Computer Science,Institute Space 12,Yes,2,5.0,Python;#C++,,4.0,5.0,1.0,0.0,3.0,6.0,1.0,0.0,Git,Yes,,1.0,3.0,2.0,1.0,2.0,2.0,3.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,Yes,Link,No
214,25 - 34,Doctorate,Physics,Institute Aeronautics 12,Yes,1,19.0,C;#Python,,3.0,2.0,3.0,2.0,2.0,8.0,0.0,0.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,,1.0,3.0,,3.0,3.0,3.0,No,,No
215,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 11,Yes,4,7.0,Java;#Python;#C#;#Other,,5.0,2.0,2.0,1.0,8.0,2.0,0.0,0.0,Git,Yes,,2.0,3.0,2.0,3.0,2.0,2.0,3.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
216,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 12,Yes,2,3.0,Python;#C++,,3.0,5.0,1.0,1.0,3.0,6.0,0.0,1.0,Subversion;#Git,Yes,,1.0,2.0,2.0,1.0,2.0,3.0,3.0,No,,1.0,2.0,3.0,,,2.0,,Yes,Link,Yes
217,25 - 34,Master degree,Physics,Institute Space 16,Yes,4,1.0,Java;#PHP;#JavaScript,,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,Git,Yes,,1.0,3.0,1.0,3.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,Yes
218,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 11,Yes,2,13.0,Python;#JavaScript,,7.0,2.0,0.0,1.0,8.0,2.0,,0.0,Git,Yes,,2.0,3.0,1.0,3.0,1.0,1.0,3.0,Yes,,3.0,1.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link,Yes
219,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 3,Yes,4,1.0,Python;#C#;#JavaScript;#SQL;#Fortran,,,7.0,,3.0,,7.0,,3.0,Git,Yes,,2.0,3.0,,2.0,,2.0,,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,No,Name,No
220,45 - 54,Doctorate,Mechanical Engineering,Institute Aeronautics 3,Yes,1,30.0,Python;#Other,,1.0,4.0,3.0,2.0,1.0,7.0,1.0,1.0,Subversion,No,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,Yes,,1.0,1.0,3.0,,2.0,1.0,3.0,Yes,Name,No
221,45 - 54,Doctorate,Physics,Institute Space 8,Yes,3,18.0,Python;#R;#Fortran,,3.0,3.0,4.0,0.0,5.0,5.0,0.0,0.0,Git,Yes,,1.0,3.0,2.0,,3.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,Yes
222,25 - 34,Master degree,Civil Engineering,Institute Transport 1,Yes,3,3.0,Java;#Python;#SQL;#R,,3.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,1.0,2.0,1.0,2.0,2.0,1.0,3.0,Yes,,2.0,2.0,2.0,,3.0,3.0,3.0,No,,No
223,,Undergraduate degree,Computer Science,Institute Aeronautics 6,Yes,2,5.0,Java;#C++;#SQL,,5.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,2.0,1.0,1.0,2.0,2.0,Yes,,3.0,1.0,3.0,,,3.0,2.0,No,,No
224,18 - 24,Undergraduate degree,Geography & Environmental Sciences,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
225,18 - 24,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 10,Yes,0 - Mostly me,3.0,C;#Visual Basic .NET;#MATLAB;#Visual Basic,,3.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,None,Yes,,,3.0,3.0,,,,3.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Link,Yes
226,45 - 54,Master degree,Computer Science,Institute Space 11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
227,25 - 34,Master degree,General Engineering,Institute Energy 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
228,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 2,Yes,0 - Mostly me,2.0,Python;#MATLAB;#Other,,4.0,6.0,0.0,,3.0,7.0,,,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,,2.0,,,,,,Yes,,,,2.0,,1.0,2.0,2.0,No,,Yes
229,35 - 44,Master degree,Mechanical Engineering,Institute Aeronautics 5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
230,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 3,Yes,0 - Mostly me,10.0,C;#Python;#C#,,1.0,1.0,7.0,1.0,2.0,6.0,1.0,1.0,Subversion,Yes,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,2.0,,2.0,2.0,3.0,No,Name,No
231,45 - 54,Master degree,Civil Engineering,Institute Aeronautics 6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
232,35 - 44,Doctorate,Physics,Institute Space 6,Yes,2,10.0,Python;#C++,,5.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,Subversion;#Git,Yes,,2.0,3.0,2.0,3.0,2.0,1.0,2.0,Yes,,3.0,2.0,2.0,,3.0,2.0,3.0,Yes,Name;#Link,Yes
233,18 - 24,Undergraduate degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,0 - Mostly me,1.0,Python;#C++,,9.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,2.0,2.0,1.0,2.0,2.0,Yes,,1.0,2.0,3.0,,1.0,2.0,3.0,No,,No
234,25 - 34,Master degree,Computer Science,Institute Transport 1,Yes,4,7.0,Java;#Python;#JavaScript;#SQL;#Go;#Other,,7.0,0.0,2.0,1.0,8.0,2.0,0.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,1.0,2.0,3.0,3.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
235,25 - 34,Master degree,Biological Sciences,Institute Transport 1,Yes,1,2.0,Python;#R,,3.0,5.0,2.0,0.0,5.0,5.0,,0.0,Git,No,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,No,,1.0,1.0,3.0,,3.0,2.0,1.0,Yes,Name;#Link,No
236,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 8,Yes,2,5.0,C;#Python;#C++;#MATLAB;#Assembly language;#Fortran,,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,Subversion;#Git,Yes,,3.0,3.0,,2.0,3.0,2.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,No,Other,No
237,35 - 44,Doctorate,Other,Institute Space 9,Yes,1,10.0,C;#Python;#C++;#SQL,,2.0,3.0,4.0,1.0,4.0,4.0,1.0,1.0,Git;#None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,2.0,Yes,Name;#DOI,Yes
238,55 or older,Other,Physics,Institute Energy 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
239,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 5,Yes,2,6.0,Java;#Python;#MATLAB;#Fortran,,4.0,2.0,2.0,2.0,5.0,4.0,1.0,0.0,Subversion;#Git,Yes,,2.0,3.0,2.0,3.0,2.0,3.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,Yes
240,35 - 44,Doctorate,Mechanical Engineering,Institute Transport 1,Yes,0 - Mostly me,12.0,Java;#Python,,1.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
241,25 - 34,Master degree,Mechanical Engineering,Institute Space 13,Yes,1,1.0,MATLAB,,2.0,6.0,1.0,1.0,2.0,6.0,1.0,1.0,Subversion;#Git,No,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,No,,1.0,1.0,3.0,,1.0,1.0,2.0,No,,No
242,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 8,Yes,2,25.0,Python;#MATLAB,,2.0,6.0,2.0,,3.0,7.0,,,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
243,35 - 44,Doctorate,Physics,,Yes,0 - Mostly me,10.0,MATLAB,,1.0,4.0,4.0,1.0,1.0,7.0,1.0,1.0,None,No,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,2.0,,3.0,Yes,Name,No
244,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 11,Yes,5 - Mostly other people,4.0,Python,,8.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,Git,Yes,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,Yes,,,,3.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
245,35 - 44,Doctorate,Sociology,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
246,25 - 34,Master degree,Mechanical Engineering,Institute Space 4,Yes,2,4.0,MATLAB,,5.0,4.0,0.0,1.0,6.0,4.0,0.0,0.0,Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,2.0,No,,No
247,45 - 54,Doctorate,Computer Science,Institute Aeronautics 10,Yes,4,20.0,C;#C++,,5.0,1.0,2.0,2.0,6.0,2.0,0.0,2.0,Subversion;#Git,Yes,,1.0,3.0,1.0,1.0,1.0,3.0,3.0,Yes,,3.0,1.0,2.0,,2.0,1.0,3.0,Yes,Name;#Link,No
248,25 - 34,Master degree,Geography & Environmental Sciences,Institute Space 15,Yes,3,6.0,Python;#C#;#PHP;#JavaScript;#SQL;#Other,,4.0,2.0,2.0,2.0,6.0,2.0,1.0,1.0,Subversion;#Git,Yes,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,2.0,3.0,3.0,No,,No
249,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 4,Yes,2,4.0,Python;#MATLAB;#Other,,6.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,Subversion,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
250,18 - 24,Undergraduate degree,Electrical & Electronic Engineering,Institute Aeronautics 8,Yes,4,3.0,MATLAB;#Visual Basic;#Other,,3.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,None,Yes,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
251,25 - 34,Doctorate,Computer Science,Institute Transport 1,Yes,4,8.0,Java;#Python;#C++;#R,,4.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,3.0,2.0,3.0,2.0,Yes,,3.0,3.0,2.0,,3.0,3.0,2.0,Yes,Name;#Link;#DOI,Yes
252,25 - 34,Master degree,Physics,Institute Space 15,Yes,2,3.0,C++;#R;#Other,,4.0,3.0,2.0,1.0,5.0,4.0,0.0,1.0,Git,Yes,,2.0,3.0,2.0,2.0,1.0,1.0,3.0,Yes,,1.0,1.0,3.0,,3.0,2.0,3.0,Yes,Name;#DOI;#Other,No
253,35 - 44,Master degree,Economics,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
254,25 - 34,Master degree,Geography & Environmental Sciences,Institute Space 8,Yes,2,2.0,Python;#MATLAB;#Fortran;#Other,,6.0,3.0,0.0,1.0,9.0,1.0,0.0,0.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,No,,1.0,1.0,1.0,,1.0,1.0,1.0,No,Other,No
255,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
256,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 1,Yes,1,1.0,C;#Python,,3.0,5.0,1.0,1.0,3.0,6.0,1.0,0.0,Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,No,,No
257,18 - 24,Undergraduate degree,Mechanical Engineering,Institute Aeronautics 2,Yes,1,3.0,MATLAB;#Other,,3.0,5.0,1.0,1.0,5.0,5.0,0.0,,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,2.0,,2.0,2.0,2.0,No,,No
258,55 or older,Doctorate,Physics,Institute Transport 1,Yes,1,20.0,C;#Python;#C++;#R,,2.0,3.0,2.0,3.0,2.0,5.0,1.0,2.0,Subversion;#Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Link;#DOI,No
259,25 - 34,Master degree,Mathematics,Other,Yes,1,8.0,Java;#R,,3.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,Subversion,Yes,,3.0,3.0,2.0,2.0,,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
260,25 - 34,Master degree,Computer Science,Institute Space 12,Yes,3,10.0,C;#Python;#C++;#Other,,5.0,1.0,4.0,,0.0,5.0,5.0,,Subversion;#Git,Yes,,2.0,3.0,,2.0,2.0,1.0,1.0,Yes,,2.0,3.0,2.0,,3.0,2.0,3.0,Yes,Name;#Link;#DOI,No
